proteinId	gotermId	goName	gotermType	goAcc
1959	1170	catalytic activity	molecular_function	GO:0003824
1977	4879	peptidase activity	molecular_function	GO:0008233
1977	3588	proteolysis and peptidolysis	biological_process	GO:0006508
1977	13831	glutamate carboxypeptidase II activity	molecular_function	GO:0043275
1983	1096	RNA binding	molecular_function	GO:0003723
1992	1170	catalytic activity	molecular_function	GO:0003824
1993	3640	proline biosynthesis	biological_process	GO:0006561
1993	1647	glutamate-5-semialdehyde dehydrogenase activity	molecular_function	GO:0004350
1997	4072	microtubule-based movement	biological_process	GO:0007018
1997	2982	microtubule associated complex	cellular_component	GO:0005875
1997	2653	ATP binding	molecular_function	GO:0005524
1997	1124	microtubule motor activity	molecular_function	GO:0003777
2015	4738	N-acetyltransferase activity	molecular_function	GO:0008080
2036	3588	proteolysis and peptidolysis	biological_process	GO:0006508
2036	1525	cysteine-type endopeptidase activity	molecular_function	GO:0004197
2036	5449	dihydrodipicolinate synthase activity	molecular_function	GO:0008840
2038	8235	oxidoreductase activity	molecular_function	GO:0016491
2038	4804	metabolism	biological_process	GO:0008152
2038	2638	iron ion binding	molecular_function	GO:0005506
2038	1357	alcohol dehydrogenase activity, iron-dependent	molecular_function	GO:0004025
2038	1356	alcohol dehydrogenase activity, zinc-dependent	molecular_function	GO:0004024
2038	1355	alcohol dehydrogenase activity, metal ion-independent	molecular_function	GO:0004023
2038	1354	alcohol dehydrogenase activity	molecular_function	GO:0004022
2044	1170	catalytic activity	molecular_function	GO:0003824
2044	1432	cholinesterase activity	molecular_function	GO:0004104
2050	1096	RNA binding	molecular_function	GO:0003723
2076	7827	integral to membrane	cellular_component	GO:0016021
2087	3488	RNA processing	biological_process	GO:0006396
2087	1096	RNA binding	molecular_function	GO:0003723
2087	166	3'-5'-exoribonuclease activity	molecular_function	GO:0000175
2087	8623	exoribonuclease activity, producing 5'-phosphomonoesters	molecular_function	GO:0016896
2087	1820	5'-3' exoribonuclease activity	molecular_function	GO:0004534
2091	3196	glycolysis	biological_process	GO:0006096
2091	3048	6-phosphofructokinase complex	cellular_component	GO:0005945
2091	1218	6-phosphofructokinase activity	molecular_function	GO:0003872
2091	2855	cytoplasm	cellular_component	GO:0005737
2095	5046	3'-5' exonuclease activity	molecular_function	GO:0008408
2095	3359	DNA replication	biological_process	GO:0006260
2095	2757	nucleus	cellular_component	GO:0005634
2095	1233	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
2095	1056	DNA binding	molecular_function	GO:0003677
2095	157	nucleotide binding	molecular_function	GO:0000166
2095	7826	membrane	cellular_component	GO:0016020
2095	3879	transport	biological_process	GO:0006810
2095	2450	transporter activity	molecular_function	GO:0005215
2095	10782	sigma DNA polymerase activity	molecular_function	GO:0019984
2095	8197	theta DNA polymerase activity	molecular_function	GO:0016452
2095	8196	nu DNA polymerase activity	molecular_function	GO:0016451
2095	8195	kappa DNA polymerase activity	molecular_function	GO:0016450
2095	8194	lambda DNA polymerase activity	molecular_function	GO:0016449
2095	8193	mu DNA polymerase activity	molecular_function	GO:0016448
2095	7809	iota DNA polymerase activity	molecular_function	GO:0016000
2095	7808	eta DNA polymerase activity	molecular_function	GO:0015999
2095	1240	gamma DNA-directed DNA polymerase activity	molecular_function	GO:0003895
2095	1239	zeta DNA polymerase activity	molecular_function	GO:0003894
2095	1238	epsilon DNA polymerase activity	molecular_function	GO:0003893
2095	1236	delta DNA polymerase activity	molecular_function	GO:0003891
2095	1235	beta DNA polymerase activity	molecular_function	GO:0003890
2095	1234	alpha DNA polymerase activity	molecular_function	GO:0003889
2096	4913	zinc ion binding	molecular_function	GO:0008270
2096	3449	regulation of transcription, DNA-dependent	biological_process	GO:0006355
2096	2757	nucleus	cellular_component	GO:0005634
2096	1076	transcription factor activity	molecular_function	GO:0003700
2125	4804	metabolism	biological_process	GO:0008152
2125	1170	catalytic activity	molecular_function	GO:0003824
2125	3105	fructose 2,6-bisphosphate metabolism	biological_process	GO:0006003
2125	2653	ATP binding	molecular_function	GO:0005524
2125	1628	fructose-2,6-bisphosphate 2-phosphatase activity	molecular_function	GO:0004331
2148	4913	zinc ion binding	molecular_function	GO:0008270
2148	3449	regulation of transcription, DNA-dependent	biological_process	GO:0006355
2148	2757	nucleus	cellular_component	GO:0005634
2148	1076	transcription factor activity	molecular_function	GO:0003700
2148	3444	transcription	biological_process	GO:0006350
2148	1056	DNA binding	molecular_function	GO:0003677
2185	4738	N-acetyltransferase activity	molecular_function	GO:0008080
2200	8235	oxidoreductase activity	molecular_function	GO:0016491
2200	4804	metabolism	biological_process	GO:0008152
2200	134	acylglycerone-phosphate reductase activity	molecular_function	GO:0000140
2211	2064	transketolase activity	molecular_function	GO:0004802
2223	4804	metabolism	biological_process	GO:0008152
2223	1170	catalytic activity	molecular_function	GO:0003824
2223	14264	succinate-CoA ligase complex (GDP-forming)	cellular_component	GO:0045244
2223	13264	succinate-CoA ligase complex	cellular_component	GO:0042709
2223	2038	succinate-CoA ligase (GDP-forming) activity	molecular_function	GO:0004776
2250	4738	N-acetyltransferase activity	molecular_function	GO:0008080
2269	18771	chromosome organization and biogenesis	biological_process	GO:0051276
2269	2812	chromosome	cellular_component	GO:0005694
2269	2653	ATP binding	molecular_function	GO:0005524
2269	8614	ATPase activity	molecular_function	GO:0016887
2269	2644	protein binding	molecular_function	GO:0005515
2358	1412	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	molecular_function	GO:0004081
2362	8235	oxidoreductase activity	molecular_function	GO:0016491
2362	4913	zinc ion binding	molecular_function	GO:0008270
2369	2653	ATP binding	molecular_function	GO:0005524
2369	1056	DNA binding	molecular_function	GO:0003677
2369	4688	ATP-dependent helicase activity	molecular_function	GO:0008026
2369	1683	helicase activity	molecular_function	GO:0004386
2369	1055	nucleic acid binding	molecular_function	GO:0003676
2369	8306	protein ubiquitination	biological_process	GO:0016567
2369	4913	zinc ion binding	molecular_function	GO:0008270
2369	2103	ubiquitin-protein ligase activity	molecular_function	GO:0004842
2369	143	ubiquitin ligase complex	cellular_component	GO:0000151
2369	13182	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
2369	13181	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
2369	13180	ATPase activity, uncoupled	molecular_function	GO:0042624
2369	13179	ATPase activity, coupled	molecular_function	GO:0042623
2369	8816	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
2369	8614	ATPase activity	molecular_function	GO:0016887
2369	7435	DNA translocase activity	molecular_function	GO:0015616
2369	7284	protein-transporting ATPase activity	molecular_function	GO:0015462
2369	4834	RNA-dependent ATPase activity	molecular_function	GO:0008186
2369	4751	DNA-dependent ATPase activity	molecular_function	GO:0008094
2369	1339	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
2369	1338	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
2374	2644	protein binding	molecular_function	GO:0005515
2384	1693	histone acetyltransferase activity	molecular_function	GO:0004402
2392	8235	oxidoreductase activity	molecular_function	GO:0016491
2392	4804	metabolism	biological_process	GO:0008152
2399	5367	S-adenosylmethionine-dependent methyltransferase activity	molecular_function	GO:0008757
2439	11620	regulation of actin filament polymerization	biological_process	GO:0030833
2439	2967	cytoskeleton	cellular_component	GO:0005856
2451	4307	small GTPase mediated signal transduction	biological_process	GO:0007264
2451	2654	GTP binding	molecular_function	GO:0005525
2451	3946	intracellular protein transport	biological_process	GO:0006886
2451	6867	protein transport	biological_process	GO:0015031
2451	1265	small monomeric GTPase activity	molecular_function	GO:0003925
2451	1264	GTPase activity	molecular_function	GO:0003924
2476	15955	hydrogen-transporting ATPase activity, rotational mechanism	molecular_function	GO:0046961
2476	15927	hydrogen-transporting ATP synthase activity, rotational mechanism	molecular_function	GO:0046933
2476	8214	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
2476	7796	ATP synthesis coupled proton transport	biological_process	GO:0015986
2476	1276	hydrogen-transporting two-sector ATPase activity	molecular_function	GO:0003936
2489	1807	endoribonuclease activity	molecular_function	GO:0004521
2489	1096	RNA binding	molecular_function	GO:0003723
2492	8095	1-phosphatidylinositol-4-phosphate 5-kinase activity	molecular_function	GO:0016308
2499	5367	S-adenosylmethionine-dependent methyltransferase activity	molecular_function	GO:0008757
2501	3640	proline biosynthesis	biological_process	GO:0006561
2501	2001	pyrroline-5-carboxylate reductase activity	molecular_function	GO:0004735
2508	13995	cellular protein metabolism	biological_process	GO:0044267
2508	2653	ATP binding	molecular_function	GO:0005524
2508	2644	protein binding	molecular_function	GO:0005515
2517	3800	aromatic compound metabolism	biological_process	GO:0006725
2517	1783	monooxygenase activity	molecular_function	GO:0004497
2517	8235	oxidoreductase activity	molecular_function	GO:0016491
2517	4804	metabolism	biological_process	GO:0008152
2517	3218	electron transport	biological_process	GO:0006118
2521	8235	oxidoreductase activity	molecular_function	GO:0016491
2521	3218	electron transport	biological_process	GO:0006118
2521	1230	D-amino-acid oxidase activity	molecular_function	GO:0003884
2521	7732	aspartate oxidase activity	molecular_function	GO:0015922
2521	5082	D-aspartate oxidase activity	molecular_function	GO:0008445
2529	7745	small ribosomal subunit	cellular_component	GO:0015935
2529	3503	protein biosynthesis	biological_process	GO:0006412
2529	1107	structural constituent of ribosome	molecular_function	GO:0003735
2529	2953	ribosome	cellular_component	GO:0005840
2529	2746	intracellular	cellular_component	GO:0005622
2537	2855	cytoplasm	cellular_component	GO:0005737
2537	2334	Rho GDP-dissociation inhibitor activity	molecular_function	GO:0005094
2540	7827	integral to membrane	cellular_component	GO:0016021
2540	3879	transport	biological_process	GO:0006810
2540	2450	transporter activity	molecular_function	GO:0005215
2561	7993	vesicle-mediated transport	biological_process	GO:0016192
2561	3962	vesicle docking during exocytosis	biological_process	GO:0006904
2568	9052	ribosomal S6-glutamic acid ligase activity	molecular_function	GO:0018169
2568	8608	acid-amino acid ligase activity	molecular_function	GO:0016881
2568	5376	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	molecular_function	GO:0008766
2570	8235	oxidoreductase activity	molecular_function	GO:0016491
2570	4804	metabolism	biological_process	GO:0008152
2570	1421	carbonyl reductase (NADPH) activity	molecular_function	GO:0004090
2574	8352	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	GO:0016614
2574	3077	carbohydrate metabolism	biological_process	GO:0005975
2574	5926	glycerol-3-phosphate dehydrogenase complex	cellular_component	GO:0009331
2574	3174	glycerol-3-phosphate metabolism	biological_process	GO:0006072
2574	1664	glycerol-3-phosphate dehydrogenase (NAD+) activity	molecular_function	GO:0004367
2574	18782	NAD binding	molecular_function	GO:0051287
2574	15172	glycerol-3-phosphate catabolism	biological_process	GO:0046168
2574	8354	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
2574	2855	cytoplasm	cellular_component	GO:0005737
2583	8498	transferase activity, transferring nitrogenous groups	molecular_function	GO:0016769
2591	5367	S-adenosylmethionine-dependent methyltransferase activity	molecular_function	GO:0008757
2591	11579	methylarsonite methyltransferase activity	molecular_function	GO:0030792
2591	10524	protein-arginine N5-methyltransferase activity	molecular_function	GO:0019702
2591	9556	1-phenanthrol methyltransferase activity	molecular_function	GO:0018707
2591	9287	protein-leucine O-methyltransferase activity	molecular_function	GO:0018423
2591	8182	rRNA (uridine) methyltransferase activity	molecular_function	GO:0016436
2591	8181	rRNA (guanine) methyltransferase activity	molecular_function	GO:0016435
2591	8180	rRNA (cytosine) methyltransferase activity	molecular_function	GO:0016434
2591	8179	rRNA (adenine) methyltransferase activity	molecular_function	GO:0016433
2591	8177	tRNA (uridine) methyltransferase activity	molecular_function	GO:0016431
2591	8173	tRNA (cytosine)-methyltransferase activity	molecular_function	GO:0016427
2591	8172	tRNA (adenine)-methyltransferase activity	molecular_function	GO:0016426
2591	8171	tRNA (guanosine) methyltransferase activity	molecular_function	GO:0016424
2591	8170	tRNA (guanine) methyltransferase activity	molecular_function	GO:0016423
2591	8088	tRNA (uracil) methyltransferase activity	molecular_function	GO:0016300
2591	8070	protein-lysine N-methyltransferase activity	molecular_function	GO:0016279
2591	8069	lysine N-methyltransferase activity	molecular_function	GO:0016278
2591	8066	protein-arginine N-methyltransferase activity	molecular_function	GO:0016274
2591	8065	arginine N-methyltransferase activity	molecular_function	GO:0016273
2591	8002	selenocysteine methyltransferase activity	molecular_function	GO:0016205
2591	5975	rRNA (cytosine-C5-967)-methyltransferase activity	molecular_function	GO:0009383
2591	5611	DNA-methyltransferase activity	molecular_function	GO:0009008
2591	5266	rRNA (uridine-2'-O-)-methyltransferase activity	molecular_function	GO:0008650
2591	5265	rRNA methyltransferase activity	molecular_function	GO:0008649
2591	5063	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	molecular_function	GO:0008425
2591	4966	site-specific DNA-methyltransferase (cytosine-specific) activity	molecular_function	GO:0008326
2591	4919	protein methyltransferase activity	molecular_function	GO:0008276
2591	4827	tRNA methyltransferase activity	molecular_function	GO:0008175
2591	4826	mRNA methyltransferase activity	molecular_function	GO:0008174
2591	4825	RNA methyltransferase activity	molecular_function	GO:0008173
2591	4824	S-methyltransferase activity	molecular_function	GO:0008172
2591	4823	O-methyltransferase activity	molecular_function	GO:0008171
2591	4822	N-methyltransferase activity	molecular_function	GO:0008170
2591	4821	C-methyltransferase activity	molecular_function	GO:0008169
2591	4820	methyltransferase activity	molecular_function	GO:0008168
2591	1226	C-terminal protein carboxyl methyltransferase activity	molecular_function	GO:0003880
2591	170	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	GO:0000179
2634	18072	3-keto-steroid reductase activity	molecular_function	GO:0050576
2634	243	3-keto sterol reductase activity	molecular_function	GO:0000253
2648	3588	proteolysis and peptidolysis	biological_process	GO:0006508
2648	1525	cysteine-type endopeptidase activity	molecular_function	GO:0004197
2648	10363	protein metabolism	biological_process	GO:0019538
2648	8438	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	molecular_function	GO:0016706
2662	7826	membrane	cellular_component	GO:0016020
2662	3568	N-linked glycosylation	biological_process	GO:0006487
2662	2641	calcium ion binding	molecular_function	GO:0005509
2662	1844	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	molecular_function	GO:0004571
2687	2653	ATP binding	molecular_function	GO:0005524
2687	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
2687	157	nucleotide binding	molecular_function	GO:0000166
2698	7827	integral to membrane	cellular_component	GO:0016021
2707	4103	cell cycle	biological_process	GO:0007049
2716	1302	RNA-3'-phosphate cyclase activity	molecular_function	GO:0003963
2721	3489	mRNA processing	biological_process	GO:0006397
2735	8516	hydrolase activity	molecular_function	GO:0016787
2735	4804	metabolism	biological_process	GO:0008152
2735	3077	carbohydrate metabolism	biological_process	GO:0005975
2735	1170	catalytic activity	molecular_function	GO:0003824
2735	5452	endochitinase activity	molecular_function	GO:0008843
2735	1842	chitinase activity	molecular_function	GO:0004568
2745	1170	catalytic activity	molecular_function	GO:0003824
2745	14259	tricarboxylic acid cycle enzyme complex	cellular_component	GO:0045239
2745	3206	fumarate metabolism	biological_process	GO:0006106
2745	1630	fumarate hydratase activity	molecular_function	GO:0004333
2759	3592	ubiquitin cycle	biological_process	GO:0006512
2759	3547	protein modification	biological_process	GO:0006464
2759	2746	intracellular	cellular_component	GO:0005622
2759	2103	ubiquitin-protein ligase activity	molecular_function	GO:0004842
2790	3508	tRNA aminoacylation for protein translation	biological_process	GO:0006418
2790	2653	ATP binding	molecular_function	GO:0005524
2790	2074	tRNA ligase activity	molecular_function	GO:0004812
2790	3523	prolyl-tRNA aminoacylation	biological_process	GO:0006433
2790	2089	proline-tRNA ligase activity	molecular_function	GO:0004827
2790	3503	protein biosynthesis	biological_process	GO:0006412
2790	2855	cytoplasm	cellular_component	GO:0005737
2826	2653	ATP binding	molecular_function	GO:0005524
2826	1056	DNA binding	molecular_function	GO:0003677
2826	4688	ATP-dependent helicase activity	molecular_function	GO:0008026
2826	1683	helicase activity	molecular_function	GO:0004386
2826	1055	nucleic acid binding	molecular_function	GO:0003676
2826	4033	response to oxidative stress	biological_process	GO:0006979
2826	1872	peroxidase activity	molecular_function	GO:0004601
2826	13182	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
2826	13181	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
2826	13180	ATPase activity, uncoupled	molecular_function	GO:0042624
2826	13179	ATPase activity, coupled	molecular_function	GO:0042623
2826	8816	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
2826	8614	ATPase activity	molecular_function	GO:0016887
2826	7435	DNA translocase activity	molecular_function	GO:0015616
2826	7284	protein-transporting ATPase activity	molecular_function	GO:0015462
2826	4834	RNA-dependent ATPase activity	molecular_function	GO:0008186
2826	4751	DNA-dependent ATPase activity	molecular_function	GO:0008094
2826	1339	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
2826	1338	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
2829	3551	protein amino acid phosphorylation	biological_process	GO:0006468
2829	2653	ATP binding	molecular_function	GO:0005524
2829	1939	protein kinase activity	molecular_function	GO:0004672
2829	1979	protein-tyrosine kinase activity	molecular_function	GO:0004713
2829	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
2845	4231	G-protein coupled receptor protein signaling pathway	biological_process	GO:0007186
2845	2131	signal transducer activity	molecular_function	GO:0004871
2845	2654	GTP binding	molecular_function	GO:0005525
2869	1055	nucleic acid binding	molecular_function	GO:0003676
2869	1606	exo-alpha-sialidase activity	molecular_function	GO:0004308
2902	8235	oxidoreductase activity	molecular_function	GO:0016491
2902	4804	metabolism	biological_process	GO:0008152
2902	5294	2-deoxy-D-gluconate 3-dehydrogenase activity	molecular_function	GO:0008678
2912	7827	integral to membrane	cellular_component	GO:0016021
2912	1211	3-oxo-5-alpha-steroid 4-dehydrogenase activity	molecular_function	GO:0003865
2956	3592	ubiquitin cycle	biological_process	GO:0006512
2956	3547	protein modification	biological_process	GO:0006464
2956	2746	intracellular	cellular_component	GO:0005622
2956	2103	ubiquitin-protein ligase activity	molecular_function	GO:0004842
2956	18523	mRNA transport	biological_process	GO:0051028
2956	2855	cytoplasm	cellular_component	GO:0005737
2981	5941	citrate lyase complex	cellular_component	GO:0009346
2981	5424	citrate (pro-3S)-lyase activity	molecular_function	GO:0008815
3001	1055	nucleic acid binding	molecular_function	GO:0003676
3007	2757	nucleus	cellular_component	GO:0005634
3007	1056	DNA binding	molecular_function	GO:0003677
3007	480	chromatin	cellular_component	GO:0000785
3007	3449	regulation of transcription, DNA-dependent	biological_process	GO:0006355
3049	4881	metalloexopeptidase activity	molecular_function	GO:0008235
3049	3588	proteolysis and peptidolysis	biological_process	GO:0006508
3049	1560	methionyl aminopeptidase activity	molecular_function	GO:0004239
3055	8235	oxidoreductase activity	molecular_function	GO:0016491
3055	4804	metabolism	biological_process	GO:0008152
3055	18835	regulation of oxidoreductase activity	biological_process	GO:0051341
3094	4094	lysosome organization and biogenesis	biological_process	GO:0007040
3094	3741	sphingolipid metabolism	biological_process	GO:0006665
3094	2879	lysosome	cellular_component	GO:0005764
3094	1645	glucosylceramidase activity	molecular_function	GO:0004348
3121	3218	electron transport	biological_process	GO:0006118
3121	1783	monooxygenase activity	molecular_function	GO:0004497
3196	3077	carbohydrate metabolism	biological_process	GO:0005975
3196	1834	alpha-mannosidase activity	molecular_function	GO:0004559
3208	3395	mismatch repair	biological_process	GO:0006298
3208	2653	ATP binding	molecular_function	GO:0005524
3208	1062	damaged DNA binding	molecular_function	GO:0003684
3208	3358	DNA metabolism	biological_process	GO:0006259
3212	4751	DNA-dependent ATPase activity	molecular_function	GO:0008094
3212	3367	DNA replication initiation	biological_process	GO:0006270
3212	2653	ATP binding	molecular_function	GO:0005524
3212	1056	DNA binding	molecular_function	GO:0003677
3212	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
3212	157	nucleotide binding	molecular_function	GO:0000166
3212	2757	nucleus	cellular_component	GO:0005634
3212	13182	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
3212	13181	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
3212	13180	ATPase activity, uncoupled	molecular_function	GO:0042624
3212	13179	ATPase activity, coupled	molecular_function	GO:0042623
3212	8816	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
3212	8614	ATPase activity	molecular_function	GO:0016887
3212	7435	DNA translocase activity	molecular_function	GO:0015616
3212	7284	protein-transporting ATPase activity	molecular_function	GO:0015462
3212	4834	RNA-dependent ATPase activity	molecular_function	GO:0008186
3212	4688	ATP-dependent helicase activity	molecular_function	GO:0008026
3212	1339	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
3212	1338	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
3262	8235	oxidoreductase activity	molecular_function	GO:0016491
3262	4804	metabolism	biological_process	GO:0008152
3262	5616	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	molecular_function	GO:0009013
3283	8235	oxidoreductase activity	molecular_function	GO:0016491
3283	4804	metabolism	biological_process	GO:0008152
3283	17232	3-ketoglucose-reductase activity	molecular_function	GO:0048258
3283	9307	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
3283	9306	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
3283	9305	epoxide dehydrogenase activity	molecular_function	GO:0018451
3283	8354	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
3283	8021	steroid dehydrogenase activity	molecular_function	GO:0016229
3283	5482	gluconate dehydrogenase activity	molecular_function	GO:0008875
3283	1781	mevaldate reductase activity	molecular_function	GO:0004495
3283	1737	isocitrate dehydrogenase activity	molecular_function	GO:0004448
3283	243	3-keto sterol reductase activity	molecular_function	GO:0000253
3283	242	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
3287	8235	oxidoreductase activity	molecular_function	GO:0016491
3287	4804	metabolism	biological_process	GO:0008152
3287	8368	protochlorophyllide reductase activity	molecular_function	GO:0016630
3292	8235	oxidoreductase activity	molecular_function	GO:0016491
3292	4804	metabolism	biological_process	GO:0008152
3292	16031	D-arabinitol 2-dehydrogenase activity	molecular_function	GO:0047038
3310	4913	zinc ion binding	molecular_function	GO:0008270
3310	2757	nucleus	cellular_component	GO:0005634
3310	1055	nucleic acid binding	molecular_function	GO:0003676
3327	8235	oxidoreductase activity	molecular_function	GO:0016491
3327	3218	electron transport	biological_process	GO:0006118
3327	1298	NADPH dehydrogenase activity	molecular_function	GO:0003959
3330	7827	integral to membrane	cellular_component	GO:0016021
3330	3879	transport	biological_process	GO:0006810
3330	2450	transporter activity	molecular_function	GO:0005215
3333	8235	oxidoreductase activity	molecular_function	GO:0016491
3333	4913	zinc ion binding	molecular_function	GO:0008270
3333	1299	NADPH:quinone reductase activity	molecular_function	GO:0003960
3340	7826	membrane	cellular_component	GO:0016020
3350	1902	phosphopantothenate-cysteine ligase activity	molecular_function	GO:0004632
3362	8502	phosphotransferase activity, alcohol group as acceptor	molecular_function	GO:0016773
3364	8235	oxidoreductase activity	molecular_function	GO:0016491
3364	4913	zinc ion binding	molecular_function	GO:0008270
3364	1357	alcohol dehydrogenase activity, iron-dependent	molecular_function	GO:0004025
3364	1356	alcohol dehydrogenase activity, zinc-dependent	molecular_function	GO:0004024
3364	1355	alcohol dehydrogenase activity, metal ion-independent	molecular_function	GO:0004023
3364	1354	alcohol dehydrogenase activity	molecular_function	GO:0004022
3394	1055	nucleic acid binding	molecular_function	GO:0003676
3400	1055	nucleic acid binding	molecular_function	GO:0003676
3405	7826	membrane	cellular_component	GO:0016020
3405	5260	carbohydrate transport	biological_process	GO:0008643
3405	2553	sugar porter activity	molecular_function	GO:0005351
3405	7827	integral to membrane	cellular_component	GO:0016021
3405	3879	transport	biological_process	GO:0006810
3405	2450	transporter activity	molecular_function	GO:0005215
3405	5345	L-arabinose isomerase activity	molecular_function	GO:0008733
3412	7826	membrane	cellular_component	GO:0016020
3412	3879	transport	biological_process	GO:0006810
3412	2450	transporter activity	molecular_function	GO:0005215
3419	1055	nucleic acid binding	molecular_function	GO:0003676
3422	8235	oxidoreductase activity	molecular_function	GO:0016491
3422	4804	metabolism	biological_process	GO:0008152
3422	3218	electron transport	biological_process	GO:0006118
3422	16108	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	molecular_function	GO:0047115
3434	14745	nutrient reservoir activity	molecular_function	GO:0045735
3434	1170	catalytic activity	molecular_function	GO:0003824
